time, Quad.IMU.AX
3.779908,0.147557
3.784908,-0.739652
3.789908,0.817793
3.794907,0.206284
3.799907,0.193588
3.804907,1.080641
3.809906,-1.005011
3.814906,-0.135451
3.819906,-0.640945
3.824905,0.556573
3.829905,-0.268780
3.834904,-0.562628
3.839904,-0.540114
3.844904,0.812062
3.849903,0.964501
3.854903,-0.198179
3.859903,-0.545331
3.864902,0.185987
3.869902,0.191440
3.874902,0.765437
3.879901,-0.477181
3.884901,-0.207087
3.889900,-0.809254
3.894900,0.334217
3.899900,0.278324
3.904899,-0.628206
3.909899,0.345760
3.914899,0.555033
3.919898,-0.631601
3.924898,0.492880
3.929898,-0.130067
3.934897,0.176695
3.939897,0.249737
3.944896,-0.153581
3.949896,-0.390731
3.954896,0.072484
3.959895,-0.749505
3.964895,-0.397408
3.969895,-0.347742
3.974894,0.266554
3.979894,0.458824
3.984894,-0.388305
3.989893,-0.089896
3.994893,1.033547
3.999892,-0.142113
4.004892,0.218084
4.009892,0.753091
4.014892,0.113007
4.019891,-0.440666
4.024891,0.646150
4.029891,-0.245581
4.034890,-0.266737
4.039890,-0.682031
4.044889,-0.402443
4.049889,-0.701266
4.054889,0.362141
4.059888,-0.104401
4.064888,-0.662307
4.069888,-0.169821
4.074887,0.219914
4.079887,-0.149197
4.084887,-0.064614
4.089886,0.586095
4.094886,-0.235330
4.099885,0.074211
4.104885,0.026589
4.109885,-0.227123
4.114884,-0.032377
4.119884,-0.144423
4.124884,-0.935391
4.129883,-0.374261
4.134883,0.115198
4.139883,-0.611164
4.144882,-0.621474
4.149882,0.966040
4.154881,0.665103
4.159881,0.377414
4.164881,-0.172656
4.169880,-0.599929
4.174880,0.133261
4.179880,0.382263
4.184879,-0.338941
4.189879,0.372792
4.194879,-0.400960
4.199878,-0.254311
4.204878,-0.890162
4.209877,0.384452
4.214877,-0.109357
4.219877,0.723806
4.224876,0.568232
4.229876,0.568098
4.234876,-0.437755
4.239875,0.785243
4.244875,-0.124791
4.249875,0.620596
4.254874,-0.652803
4.259874,-0.326664
4.264874,0.256571
4.269873,0.038878
4.274873,-0.029009
4.279872,0.139701
4.284872,-0.176519
4.289872,-0.217923
4.294871,0.368391
4.299871,-0.205052
4.304871,0.196970
4.309870,-0.949850
4.314870,-0.562567
4.319870,-0.872956
4.324869,0.257543
4.329869,0.295315
4.334868,-0.176630
4.339868,0.653434
4.344868,-0.479155
4.349867,-0.338074
4.354867,0.490490
4.359867,-0.099785
4.364866,0.010934
4.369866,-0.394847
4.374866,-0.024848
4.379865,-0.091266
4.384865,0.094112
4.389864,-0.580983
4.394864,0.555743
4.399864,0.304389
4.404863,0.925724
4.409863,0.253403
4.414863,0.587196
4.419862,-0.346398
4.424862,-0.438006
4.429862,-0.049219
4.434861,-1.301915
4.439861,0.512508
4.444860,-0.213253
4.449860,0.505279
4.454860,-0.473310
4.459859,-0.287159
4.464859,0.632823
4.469859,-0.007998
4.474858,-0.811829
4.479858,-0.646434
4.484858,-0.785007
4.489857,-0.411750
4.494857,-0.509614
4.499856,0.562411
4.504856,0.208615
4.509856,0.204608
4.514855,-0.465639
4.519855,-0.495991
4.524855,-0.077424
4.529854,-0.181029
4.534854,-0.488433
4.539854,-0.979064
4.544853,0.656597
4.549853,0.021387
4.554852,-0.473870
4.559852,-0.179333
4.564852,-0.067951
4.569851,0.127823
4.574851,-0.514424
4.579851,0.738750
4.584850,-0.374455
4.589850,-0.165628
4.594850,1.523348
4.599849,-0.620630
4.604849,-0.306226
4.609848,0.861774
4.614848,0.243608
4.619848,-0.387090
4.624847,0.010422
4.629847,0.096536
4.634847,0.334075
4.639846,-0.049311
4.644846,0.393755
4.649846,-0.069716
4.654845,-0.729989
4.659845,0.192899
4.664845,-0.328813
4.669844,0.172884
4.674844,0.271048
4.679843,0.266186
4.684843,-0.295632
4.689843,1.310030
4.694842,-0.699200
4.699842,-0.652769
4.704842,-1.011139
4.709841,0.103674
4.714841,-0.773968
4.719841,0.661040
4.724840,-0.912665
4.729840,-0.675040
4.734839,0.212443
4.739839,0.370519
4.744839,-0.533207
4.749838,-0.251642
4.754838,0.377779
4.759838,0.142949
4.764837,-0.190971
4.769837,-0.012140
4.774837,0.042145
4.779836,-0.301789
4.784836,-1.345389
4.789835,-0.342581
4.794835,-0.039196
4.799835,0.462745
4.804834,0.258625
4.809834,-0.196584
4.814834,-0.259095
4.819833,0.207123
4.824833,0.817340
4.829833,-0.569091
4.834832,-0.669412
4.839832,0.119695
4.844831,0.266436
4.849831,0.235651
4.854831,-0.426545
4.859830,-0.467739
4.864830,0.119396
4.869830,-0.448690
4.874829,0.549969
4.879829,-0.492657
4.884829,0.480219
4.889828,0.017845
4.894828,0.548506
4.899827,-0.149199
4.904827,-0.078919
4.909827,-0.032632
4.914826,1.015489
4.919826,-0.140268
4.924826,-0.158845
4.929825,-0.307299
4.934825,0.770744
4.939825,-0.910993
4.944824,-0.351755
4.949824,-0.043064
4.954823,-0.423546
4.959823,0.562496
4.964823,0.287648
4.969822,0.371807
4.974822,0.087105
4.979822,-0.210362
4.984821,-0.959183
4.989821,0.130688
4.994821,-0.358542
4.999820,-0.396912
5.004820,0.128773
5.009820,-0.371849
5.014819,-0.504983
5.019819,0.332779
5.024818,-0.361736
5.029818,0.063019
5.034818,-0.362181
5.039817,0.831650
5.044817,0.470564
5.049817,0.787204
5.054816,0.180802
5.059816,0.042330
5.064816,0.505244
5.069815,-0.276807
5.074815,0.349549
5.079814,-0.225755
5.084814,0.357241
5.089814,-0.584228
5.094813,-0.119215
5.099813,0.162658
5.104813,-0.138593
5.109812,-0.138611
5.114812,-0.237976
5.119812,-0.094652
5.124811,0.381236
5.129811,0.215151
5.134810,0.561916
5.139810,-0.261555
5.144810,-0.556160
5.149809,0.200473
5.154809,-0.918669
5.159809,0.834229
5.164808,0.594414
5.169808,0.125468
5.174808,0.428137
5.179807,-0.748833
5.184807,-0.308914
5.189806,0.637128
5.194806,0.109758
5.199806,0.706822
5.204805,0.158920
5.209805,0.071322
5.214805,-1.369071
5.219804,0.540077
5.224804,-0.652878
5.229804,0.198207
5.234803,-0.428234
5.239803,0.688626
5.244802,-0.001873
5.249802,0.033457
5.254802,-0.319460
5.259801,0.077162
5.264801,0.183212
5.269801,-0.366554
5.274800,0.063844
5.279800,0.478230
5.284800,0.081303
5.289799,0.276617
5.294799,0.580277
5.299798,-0.149650
5.304798,-0.968331
5.309798,0.486472
5.314797,-0.041984
5.319797,-0.755520
5.324797,-0.217845
5.329796,0.231391
5.334796,0.365196
5.339796,-0.023419
5.344795,-0.419735
5.349795,0.297769
5.354795,-1.097733
5.359794,0.047941
5.364794,0.863572
5.369793,0.871772
5.374793,0.306897
5.379793,-0.200656
5.384792,0.691882
5.389792,0.748731
5.394792,-0.548821
5.399791,-0.052585
5.404791,0.064999
5.409791,0.406201
5.414790,0.385318
5.419790,0.779926
5.424789,-0.373841
5.429789,0.437739
5.434789,0.071572
5.439788,-0.376777
5.444788,-0.638358
5.449788,0.035990
5.454787,0.521502
5.459787,-1.059088
5.464787,0.759431
5.469786,-0.112615
5.474786,0.069162
5.479785,-0.690437
5.484785,0.492714
5.489785,-0.100057
5.494784,0.654034
5.499784,-0.108094
5.504784,0.282351
5.509783,0.066413
5.514783,0.577414
5.519783,-0.254468
5.524782,1.118050
5.529782,0.586948
5.534781,-0.265208
5.539781,0.195102
5.544781,-0.086779
5.549780,-1.290001
5.554780,0.225617
5.559780,-0.085120
5.564779,0.037575
5.569779,-0.147258
5.574779,-0.230386
5.579778,-0.454757
5.584778,-0.437841
5.589777,-0.517021
5.594777,0.223592
5.599777,0.114194
5.604776,0.006537
5.609776,-0.242015
5.614776,0.013606
5.619775,-1.183783
5.624775,-0.034901
5.629775,-0.276223
5.634774,0.103085
5.639774,-0.030191
5.644773,0.065057
5.649773,-0.555545
5.654773,0.377459
5.659772,0.184718
5.664772,-0.155206
5.669772,-0.734396
5.674771,0.036940
5.679771,-0.178257
5.684771,1.137292
5.689770,-0.314398
5.694770,0.542810
5.699769,0.485372
5.704769,-0.450191
5.709769,-1.344799
5.714768,0.971078
5.719768,-0.657963
5.724768,0.633873
5.729767,-0.180445
5.734767,-0.107298
5.739767,0.290104
5.744766,-0.677627
5.749766,-0.454709
5.754766,-0.805512
5.759765,0.069026
5.764765,-0.658012
5.769764,-0.520245
5.774764,-0.169089
5.779764,0.275740
5.784763,1.098251
5.789763,-0.679657
5.794763,0.186763
5.799762,-0.058465
5.804762,-0.136086
5.809762,0.260858
5.814761,0.274537
5.819761,-0.660710
5.824760,0.151364
5.829760,0.130757
5.834760,-0.411707
5.839759,-0.029091
5.844759,0.273941
5.849759,0.526095
5.854758,0.667047
5.859758,-1.215140
5.864758,0.060462
5.869757,1.315563
5.874757,-0.471283
5.879756,-0.674408
5.884756,0.677326
5.889756,0.224555
5.894755,0.480273
5.899755,0.180465
5.904755,-0.588276
5.909754,0.015087
5.914754,-0.722396
5.919754,0.164916
5.924753,0.309407
5.929753,-0.074474
5.934752,0.269459
5.939752,-0.167958
5.944752,0.073060
5.949751,-0.384061
5.954751,0.198389
5.959751,-0.419184
5.964750,-0.135597
5.969750,-0.161984
5.974750,-0.400147
5.979749,-0.435395
5.984749,-0.070500
5.989748,-0.333810
5.994748,0.260532
5.999748,0.673999
6.004747,0.957697
6.009747,0.844217
6.014747,-1.066989
6.019746,-0.189977
6.024746,0.341181
6.029746,-0.720552
6.034745,-0.123247
6.039745,0.418147
6.044744,0.132281
6.049744,-0.023692
6.054744,-0.274399
6.059743,-0.647992
6.064743,-0.156125
6.069743,0.702994
6.074742,-0.994476
6.079742,-0.545895
6.084742,-1.107932
6.089741,0.459620
6.094741,-0.292104
6.099741,-0.453212
6.104740,-0.127091
6.109740,-0.326511
6.114739,0.618744
6.119739,0.737011
6.124739,-1.158758
6.129738,-0.577877
6.134738,0.635257
6.139738,-0.264859
6.144737,0.142743
6.149737,0.111336
6.154737,-1.243826
6.159736,-1.152741
6.164736,0.310665
6.169735,-0.554327
6.174735,-0.206455
6.179735,0.313393
6.184734,0.325323
6.189734,-1.826785
6.194734,0.120935
6.199733,0.045980
6.204733,0.293140
6.209733,0.234934
6.214732,-0.160104
6.219732,0.395779
6.224731,0.066914
6.229731,0.285589
6.234731,0.219997
6.239730,-0.249753
6.244730,0.822342
6.249730,0.353628
6.254729,0.865353
6.259729,0.198727
6.264729,-0.121363
6.269728,0.110109
6.274728,0.685909
6.279727,0.731302
6.284727,0.323121
6.289727,-0.128328
6.294726,0.431703
6.299726,-0.103569
